,videoid,channelname,gender,title,views,count_pos,count_neg,count_neu,likes,tot_comments,dislikes
0,wQA68Oqr1qE,Anubhav Singh Bassi,0,Cheating - Stand Up Comedy ft. Anubhav Singh Bassi,71374006,766,139,95,2500000,31544,40000
1,Tqsz6fjvhZM,Anubhav Singh Bassi,0,Hostel - Stand Up Comedy ft. Anubhav Singh Bassi,62872597,812,110,78,2100000,33640,30000
2,qkxuFKqJXWY,Anubhav Singh Bassi,0,Roommate - Stand Up Comedy Ft. Anubhav Singh Bassi,56384397,705,192,103,2500000,54793,38000
3,z12bz7adLKI,Anubhav Singh Bassi,0,Waxing - Stand Up Comedy ft. Anubhav Singh Bassi,42911884,660,214,126,1600000,18173,24000
4,c7QYEedjb_o,Abhishek Upmanyu,0,"ABHISHEK UPMANYU |Friends, Crime, & The Cosmos | Stand-Up Comedy by Abhishek Upmanyu",52020504,628,260,112,1600000,27846,32000
5,mPCDQ34S8Rs,Abhishek Upmanyu,0,"Delhi, Mumbai & Rich People | Stand-up Comedy by Abhishek Upmanyu",41560911,606,127,267,895000,7603,17000
6,8q4xY8NO7yQ,Abhishek Upmanyu,0,"Breakup, Respecting Elders, & Discrimination | Stand-Up Comedy by Abhishek Upmanyu",35342279,630,278,92,931000,9977,16000
7,AyafgNZZees,Abhishek Upmanyu,0,Porn | Stand-Up Comedy by Abhishek Upmanyu,31799847,500,400,100,1000000,18533,22000
8,oMRyWLDV-sI,Son Of Abish,0,Son Of Abish feat. Zakir Khan & Taapsee Pannu,12743587,501,279,220,173000,3657,7700
9,qEpdEJNrLqc,Son Of Abish,0,Son Of Abish feat. Tanmay Bhat & Bhuvan Bam,6521629,560,165,275,142000,4631,7200
10,qbVYThedHfk,Son Of Abish,0,Son Of Abish feat. Dulquer Salmaan & Vidya Balan,6019726,569,95,336,75000,4771,4500
11,RIptLU5kFSY,Son Of Abish,0,What Women Think About During Sex - Abish Mathew (New York Comedy Club),5556074,266,258,48,53000,572,3300
12,1fqiwwGOynQ,Aditi Mittal,1,Bra Shopping |Stand Up Comedy by Aditi Mittal,10606566,309,521,170,94000,2027,8800
13,bIapVfDTgBY,Aditi Mittal,1,Sanitary Napkins | Things They Wouldn't Let Me Say (Stand-up Comedy),2515433,191,564,66,53000,821,933
14,9QBF23j0uT4,Aditi Mittal,1,Bad Girls with Aditi Mittal|Ep 1| Nidhi Goyal,1285526,214,425,72,37000,711,784
