comments,polarity,gender
In every friend circle ever there is a guy like Abdul This is a 100% pure fact!,neutral,0
In every friend circle ever there is a guy like Abdul This is a 100% pure fact!,neutral,0
New video kb ayegi sir???,negative,0
New video kb ayegi sir???,negative,0
Sir Lots of love from Meerut.. ??,positive,0
Sir Lots of love from Meerut.. ??,positive,0
Imagine bassi as lawyer ????????fir to jolly llb 3 ban jani hai ..,negative,0
Imagine bassi as lawyer ????????fir to jolly llb 3 ban jani hai ..,negative,0
Abdul main cast tha!!!,neutral,0
Abdul main cast tha!!!,neutral,0
Bro u r jaat that's why I subscribed to your,negative,0
Bro u r jaat that's why I subscribed to your,negative,0
Fun fact : The comment section is still alive after 3 years.,neutral,0
Fun fact : The comment section is still alive after 3 years.,neutral,0
This is not comedy it's true reality,neutral,0
This is not comedy it's true reality,neutral,0
I am watching 4th time,positive,0
I am watching 4th time,positive,0
"One of The most iconic comedy ""pehle mai clg gaya ganja mill gaya..maine fooka sem khatam hoe gaya""??",positive,0
"One of The most iconic comedy ""pehle mai clg gaya ganja mill gaya..maine fooka sem khatam hoe gaya""??",positive,0
"Well lord shiv doesn't smoke, Get this point",negative,0
"Well lord shiv doesn't smoke, Get this point",negative,0
in thiS video a laughed alot ehich maked me cry,positive,0
in thiS video a laughed alot ehich maked me cry,positive,0
His smile is very nice.. Audience connects with him very easily...,positive,0
169 times watched ??,positive,0
42 time watch ????,positive,0
"Kya ghor kalyug aane lga hai ,,saale ese bevkoof bhagwan shiv ka mjak uda rhe hai fhir bhi bevkoof in jaiso k fan bn rhe hai , these idiots are distroying our youth ,, ?? ?? ???? ??? ???????",negative,0
Bhaiyon next target 75 million,negative,0
no standup comedy better than this,positive,0
"Bhai aap acchi comedy karte hoon 

But pls try karo ki koi religious one pe maat karo .....Apne shiv ji wala accha nahi bola 

Par fir bhi aap bahut aache hoon ....I am your big fan",positive,0
??again I m here??,neutral,0
"First time i see his name i am laughing beause BASSI is dirty mind word .


(sorry bro don't take it serious??)",negative,0
"Its a moment to take it in the morning. So we need to cake the under whould so we take the sun.mera vala take over the king mera doctor and all so we and our cemestry mera year take ober so we need this overall. About so we found that
So you what to theal so we kaoos hskka loge wrfaye overace qwerba ravvad bamsge amnbe agbbee makbe bshha veravh rarttave eadcee amml snnek snbekmIts a moment to take it in the morning. So we need to cake the under whould so we take the sun.mera vala take over the king mera doctor and all so we and our cemestry mera year take ober so we need this overall. About so we found that
So you what to theal so we kaoos hskka loge wrfaye overace qwerba ravvad bamsge amnbe agbbee makbe bshha veravh rarttave eadcee amml snnek snbekm",neutral,0
Bhai i also want to go in NLU,negative,0
Me watching this video 100000 time and still ??,neutral,0
"Anubhav Singh Bassi story telling is just amazing....
 We can realise all his comic circumstance in front of our eyes.... Best Stand up comedian... ??",positive,0
"Amitabh Bachchan : 7 Crore ??









Views ??",negative,0
Everything is ok but you criticize lord shiva . Firstly you have to need to learn or read about lord shiva he is use cannabis once in time during sumadra manthan and after that he never use any drug. You make fun of lord shiva ashame on you and take right knowledge about shiva then you realize your mistake,neutral,0
"This guy's says he has puffed Ganja, he should be booked under Narcotic Act.",negative,0
He is a comedian + narrator.... I was imagining all his jokes... ?? That's his talent..,positive,0
Bht hard h ????,negative,0
"Why you said ""me shiv ji ke sapne me aagya"" it's not good you have to give him respect we watch your video and love your video but stop disrespecting our snatan dharma and gods please",negative,0
Never get bored by watching this . Amazing . Bassi!! Rocks.,neutral,0
The main laughter is 5:35 to 6:15 ??,negative,0
2:08 OCB means?,neutral,0
Wayyyyy tooo amazing...more we watch it.....again we watch it,positive,0
Bhai maja aagyi more tgan 100 times watched the vedio,positive,0
This is my 23rd time this year,positive,0
best comedy video i ever know ??,positive,0
Unlimited laugh,neutral,0
This is not funny,negative,0
https://youtu.be/ttZ-YFO2-II world cup 2022 indian team,negative,0
& than they always make fun of gods,neutral,0
"Yeah.... meerut ??
5th time here...??",negative,0
2:12.....what is OCB..?,negative,0
voice bahot mast hai,positive,0
The only comedian who make me smile loud...bc boht saare comedian ke videos dekhe but agr kisi me really me hassi aaayii...toh wo bass aap mee??,positive,0
9:42 that's on loop ??,neutral,0
What is OCB,neutral,0
"Civilised city - meerut 
Civilised community - jaat 

Me too ??",positive,0
I am also from meerut bro,positive,0
Acha Hai par background me hasne wale ek hi rithem me haste hai ..apke  sare video me..,neutral,0
Fun Fact..you are watching this for the 2nd time????,neutral,0
Thank you for explaining this thoroughly!,neutral,0
I'm here 7th time now,positive,0
seeing it fifth time and still laughing ?? ??,positive,0
Every time you watch it..you laugh like it's the first time!,positive,0
Do not hurt religious sentiments plz,negative,0
"Love this video, I think Ive watched it fifty times__amazing ??",positive,0
Who is enjoying this masterpiece in sept 2022,positive,0
Watching again and again after 03 years??????,positive,0
I was thinking you did LLB from apna ccsu ????????,neutral,0
Challenge :you can control your laugh??????#Anubhavsinghbassi,positive,0
Teacher ki tashrif phat gai ???????? You are amazing!,positive,0
Ganjha Shiv Ji Allah Kala Jaadoo then too no controversies ????,negative,0
Video was amazing but are u considering shivji as a drug addict this is wrong bhai very wrong,neutral,0
Obc se ocb who get this,neutral,0
Teacher ki tasreef fat gayi ??,neutral,0
This is a masterpiece in standup comedy.,positive,0
